     R/Rsun        theta        Omega(1/ns) Unknown
     0.972523      1.04720      376.661     0.114660
     0.978567      1.04720      375.481    0.0907985
     0.983589      1.04720      374.096    0.0667796
     0.987668      1.04720      372.652    0.0544434
     0.990765      1.04720      371.378    0.0621018
     0.993061      1.04720      370.363    0.0798546
     0.994808      1.04720      369.548    0.0987284
     0.996168      1.04720      368.888     0.115801
     0.997251      1.04720      368.350     0.130518
     0.998128      1.04720      367.910     0.142979
     0.998842      1.04720      367.550     0.153390
     0.999417      1.04720      367.259     0.161907
     0.999861      1.04720      367.034     0.168567
      1.00019      1.04720      366.868     0.173503
      1.00046      1.04720      366.732     0.177584
      1.00071      1.04720      366.603     0.181459
     0.400260      1.01447      427.218     0.543959
     0.442229      1.01447      427.539     0.438688
     0.482450      1.01447      427.376     0.357819
     0.521026      1.01447      427.829     0.300793
     0.558060      1.01447      427.228     0.279557
     0.593637      1.01447      425.982     0.278757
     0.627809      1.01447      425.771     0.276173
     0.660583      1.01447      423.024     0.266698
     0.691917      1.01447      413.409     0.251473
     0.721641      1.01447      398.598     0.232963
     0.749417      1.01447      385.878     0.211986
