#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
    48  3.55976505  0.72514E+00   1.96791   3.61955   5.73201  -2.69781   0.00000   0.00000  0.00000  0.00000   0.00000  0.788E-07  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7320  2.4458  18.5399  1.9915  1.230000  0.000E+00  1.96791E+00  0.00000E+00  0.00000E+00    4.13848  -99.00000   11.30572   29.57527   31.81043        1.857423E+00    0.00000  2.483677E+47  2.000000E+00
    49  3.59268101  0.72514E+00   1.95372   3.62096   5.74136  -2.66985   0.00000   0.00000  0.00000  0.00000   0.00000  0.120E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7414  2.4458  18.1217  2.0113  1.230000  0.000E+00  1.95372E+00  0.00000E+00  0.00000E+00    4.16258  -99.00000   11.13871   29.22948   31.46218        1.850040E+00    0.00000  2.536207E+47  2.000000E+00
    50  3.62488297  0.72514E+00   1.93697   3.62167   5.75065  -2.64207   0.00000   0.00000  0.00000  0.00000   0.00000  0.182E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7506  2.4458  17.7180  2.0309  1.230000  0.000E+00  1.93697E+00  0.00000E+00  0.00000E+00    4.18911  -99.00000   10.97111   28.88269   31.11292        1.846489E+00    0.00000  2.589533E+47  2.000000E+00
    51  3.65673634  0.72514E+00   1.92028   3.62239   5.75996  -2.61422   0.00000   0.00000  0.00000  0.00000   0.00000  0.277E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7600  2.4458  17.3230  2.0505  1.230000  0.000E+00  1.92028E+00  0.00000E+00  0.00000E+00    4.21559  -99.00000   10.80573   28.54067   30.76845        1.842913E+00    0.00000  2.644203E+47  2.000000E+00
    52  3.68824233  0.72514E+00   1.90593   3.62376   5.76933  -2.58617   0.00000   0.00000  0.00000  0.00000   0.00000  0.419E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7693  2.4458  16.9318  2.0703  1.230000  0.000E+00  1.90593E+00  0.00000E+00  0.00000E+00    4.23986  -99.00000   10.64091   28.20003   30.42535        1.835979E+00    0.00000  2.700472E+47  2.000000E+00
    53  3.71918506  0.72514E+00   1.88906   3.62443   5.77864  -2.55832   0.00000   0.00000  0.00000  0.00000   0.00000  0.634E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7786  2.4458  16.5549  2.0899  1.230000  0.000E+00  1.88906E+00  0.00000E+00  0.00000E+00    4.26652  -99.00000   10.47595   27.85929   30.08214        1.832593E+00    0.00000  2.757627E+47  2.000000E+00
    54  3.74990503  0.72514E+00   1.87216   3.62511   5.78798  -2.53035   0.00000   0.00000  0.00000  0.00000   0.00000  0.958E-06  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7880  2.4458  16.1854  2.1095  1.230000  0.000E+00  1.87216E+00  0.00000E+00  0.00000E+00    4.29321  -99.00000   10.31310   27.52312   29.74352        1.829398E+00    0.00000  2.816238E+47  2.000000E+00
    55  3.78036475  0.72514E+00   1.85787   3.62650   5.79739  -2.50218   0.00000   0.00000  0.00000  0.00000   0.00000  0.144E-05  0.000E+00  0.000E+00  0.100E+01  0.2610  5.7974  2.4458  15.8194  2.1293  1.230000  0.000E+00  1.85787E+00  0.00000E+00  0.00000E+00    4.31743  -99.00000   10.15072   27.18814   29.40609        1.822334E+00    0.00000  2.876577E+47  2.000000E+00
    56  3.81033470  0.72514E+00   1.84086   3.62714   5.80673  -2.47422   0.00000   0.00000  0.00000  0.00000   0.00000  0.217E-05  0.000E+00  0.000E+00  0.100E+01  0.2610  5.8067  2.4458  15.4673  2.1489  1.230000  0.000E+00  1.84086E+00  0.00000E+00  0.00000E+00    4.34422  -99.00000    9.98818   26.85301   29.06850        1.819273E+00    0.00000  2.937841E+47  2.000000E+00
    57  3.84017682  0.72514E+00   1.82641   3.62849   5.81615  -2.44599   0.00000   0.00000  0.00000  0.00000   0.00000  0.325E-05  0.000E+00  0.000E+00  0.100E+01  0.2610  5.8161  2.4458  15.1178  2.1688  1.230000  0.000E+00  1.82641E+00  0.00000E+00  0.00000E+00    4.36860  -99.00000    9.82784   26.52264   28.73568        1.812420E+00    0.00000  3.001069E+47  2.000000E+00
